,subID,group,block,critRT,Trial,Resp,RT,ACC,rewType,moneyearned,congruent,taskswitch
149,1,YA,8,712,53,4,428,1,Reward2,0.02,congruent,0
150,1,YA,8,712,54,4,806,1,Reward1,0,incongruent,0
151,1,YA,8,712,55,3,463,1,Reward2,0.02,incongruent,0
152,1,YA,8,712,56,4,561,1,Reward2,0.02,incongruent,1
153,1,YA,8,712,57,4,1001,1,Reward1,0,incongruent,0
154,1,YA,8,712,58,4,477,1,Reward2,0.02,incongruent,0
155,1,YA,8,712,59,3,326,1,Reward4,0.04,congruent,1
156,1,YA,8,712,60,4,466,1,Reward1,0.01,congruent,0
157,1,YA,8,712,61,3,542,1,Reward2,0.02,incongruent,1
158,1,YA,8,712,62,3,520,0,Reward2,0,incongruent,1
159,1,YA,8,712,63,4,590,1,Reward2,0.02,incongruent,0
160,1,YA,8,712,64,4,333,1,Reward4,0.04,incongruent,0
161,1,YA,8,712,65,3,497,1,Reward4,0.04,incongruent,1
162,1,YA,8,712,66,4,373,1,Reward4,0.04,incongruent,0
163,1,YA,8,712,67,4,556,1,Reward1,0.01,incongruent,1
164,1,YA,8,712,68,4,600,1,Reward2,0.02,incongruent,0
165,1,YA,8,712,69,4,434,1,Reward1,0.01,congruent,1
166,1,YA,8,712,70,4,404,1,Reward2,0.02,congruent,1
167,1,YA,8,712,71,4,400,1,Reward4,0.04,congruent,1
168,1,YA,8,712,72,4,391,1,Reward4,0.04,incongruent,1
169,1,YA,8,712,73,3,480,1,Reward4,0.04,incongruent,0
170,1,YA,8,712,74,3,522,1,Reward2,0.02,congruent,1
171,1,YA,8,712,75,3,355,0,Reward4,0,congruent,1
172,1,YA,8,712,76,3,613,0,Reward2,0,incongruent,1
173,1,YA,8,712,77,4,453,1,Reward4,0.04,congruent,0
174,1,YA,8,712,78,4,450,1,Reward4,0.04,congruent,1
175,1,YA,8,712,79,4,481,1,Reward4,0.04,incongruent,1
176,1,YA,8,712,80,3,397,1,Reward1,0.01,congruent,1
177,1,YA,8,712,81,3,473,1,Reward4,0.04,congruent,1
178,1,YA,8,712,82,4,378,1,Reward1,0.01,congruent,0
179,1,YA,8,712,83,4,397,1,Reward1,0.01,congruent,0
180,1,YA,8,712,84,3,472,1,Reward2,0.02,congruent,0
181,1,YA,8,712,85,3,645,1,Reward1,0.01,incongruent,0
182,1,YA,8,712,86,4,709,1,Reward1,0.01,incongruent,1
183,1,YA,8,712,87,3,373,1,Reward1,0.01,incongruent,1
184,1,YA,8,712,88,3,547,1,Reward2,0.02,congruent,1
185,1,YA,8,712,89,4,695,1,Reward1,0.01,congruent,0
186,1,YA,8,712,90,3,793,1,Reward1,0,incongruent,0
187,1,YA,8,712,91,4,432,1,Reward2,0.02,congruent,0
188,1,YA,8,712,92,3,598,1,Reward1,0.01,congruent,0
189,1,YA,8,712,93,3,509,1,Reward1,0.01,incongruent,0
190,1,YA,8,712,94,3,388,0,Reward4,0,congruent,0
191,1,YA,8,712,95,4,712,0,Reward2,0,congruent,0
